EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/synch/mutex/innodb/rw_lock_list_mutex	2097391	42.1598	0.0000
wait/io/file/sql/ERRMSG	5	38.5050	7.7010
wait/io/file/sql/dbopt	188	31.3050	0.1665
wait/synch/mutex/innodb/purge_sys_pq_mutex	253616	24.9824	0.0001
wait/synch/mutex/innodb/ibuf_bitmap_mutex	173548	22.1094	0.0001
wait/io/file/sql/FRM	1365	15.8159	0.0116
wait/io/file/mysys/charset	3	9.5828	3.1943
wait/synch/mutex/innodb/page_cleaner_mutex	11423	2.8381	0.0002
wait/synch/sxlock/innodb/trx_purge_latch	11529	2.2280	0.0002
wait/io/file/sql/casetest	10	0.1970	0.0197
wait/synch/mutex/innodb/row_drop_list_mutex	682	0.1387	0.0002
wait/io/file/mysys/cnf	5	0.1140	0.0228
wait/synch/mutex/innodb/innobase_share_mutex	333	0.0892	0.0003
wait/synch/mutex/innodb/ibuf_mutex	567	0.0862	0.0002
wait/synch/sxlock/innodb/dict_table_stats	176	0.0849	0.0005
wait/io/file/sql/pid	3	0.0477	0.0159
wait/synch/mutex/innodb/file_format_max_mutex	328	0.0444	0.0001
wait/synch/mutex/innodb/trx_pool_manager_mutex	168	0.0319	0.0002
wait/synch/mutex/innodb/recalc_pool_mutex	76	0.0137	0.0002
wait/io/file/sql/global_ddl_log	2	0.0109	0.0054
wait/synch/mutex/innodb/recv_sys_mutex	174	0.0092	0.0001
wait/synch/mutex/innodb/thread_mutex	32	0.0029	0.0001
wait/synch/mutex/innodb/recv_writer_mutex	3	0.0005	0.0002
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	12	0.0004	0.0000
wait/synch/mutex/innodb/autoinc_mutex	1	0.0000	0.0000
EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/io/table/sql/handler	156353423	8642618.8280	0.0553
wait/io/file/innodb/innodb_data_file	18273426	3801960.2306	0.2081
wait/synch/sxlock/innodb/btr_search_latch	107687008	1464173.2302	0.0136
wait/synch/sxlock/innodb/hash_table_locks	963233069	117129.8887	0.0001
wait/synch/mutex/innodb/lock_mutex	165050780	84997.6997	0.0005
wait/synch/sxlock/innodb/index_tree_rw_lock	134427521	77507.2787	0.0006
wait/lock/table/sql/handler	84055166	70288.0709	0.0008
wait/synch/mutex/innodb/log_sys_mutex	121958263	52941.6483	0.0004
wait/synch/mutex/innodb/buf_pool_mutex	137596553	46263.5663	0.0003
wait/synch/mutex/innodb/fil_system_mutex	169801940	36585.9810	0.0002
wait/io/file/innodb/innodb_log_file	26765	36076.1034	1.3479
wait/synch/mutex/innodb/trx_mutex	859034814	32107.3233	0.0000
wait/synch/mutex/innodb/trx_sys_mutex	78064511	19675.5388	0.0003
wait/synch/sxlock/innodb/fil_space_latch	3148155	11868.5559	0.0038
wait/synch/sxlock/innodb/dict_operation_lock	57464564	5457.0532	0.0001
wait/synch/mutex/innodb/log_sys_write_mutex	358925	4595.3114	0.0128
wait/synch/mutex/innodb/sync_array_mutex	11905203	4100.6253	0.0003
wait/synch/mutex/innodb/redo_rseg_mutex	16408871	3405.1596	0.0002
wait/synch/mutex/innodb/buf_dblwr_mutex	2561914	2428.9501	0.0009
wait/synch/mutex/innodb/flush_list_mutex	18031652	1920.9677	0.0001
wait/synch/mutex/innodb/log_flush_order_mutex	12086404	1908.7779	0.0002
wait/synch/mutex/innodb/trx_undo_mutex	41191507	1745.9754	0.0000
wait/synch/mutex/innodb/trx_pool_mutex	300	1276.4063	4.2547
wait/synch/mutex/innodb/nvdimm_static_region_mutex	8711737	705.6897	0.0001
wait/synch/mutex/innodb/dict_sys_mutex	1452689	704.6700	0.0005
wait/synch/sxlock/innodb/checkpoint_lock	162	504.2063	3.1124
wait/synch/mutex/innodb/srv_sys_mutex	2231043	165.2000	0.0001
wait/synch/mutex/innodb/nvdimm_dynamic_region_mutex	1907444	124.7141	0.0001
wait/synch/mutex/innodb/lock_wait_mutex	43004	117.1676	0.0027
wait/synch/mutex/innodb/rw_lock_list_mutex	2097391	42.1598	0.0000
wait/io/file/sql/ERRMSG	5	38.5050	7.7010
wait/io/file/sql/dbopt	188	31.3050	0.1665
wait/synch/mutex/innodb/purge_sys_pq_mutex	258492	25.6510	0.0001
wait/synch/mutex/innodb/ibuf_bitmap_mutex	175209	22.3498	0.0001
wait/io/file/sql/FRM	1365	15.8159	0.0116
wait/io/file/mysys/charset	3	9.5828	3.1943
wait/synch/mutex/innodb/page_cleaner_mutex	11591	2.8544	0.0002
